Address,Blank,City,County Name,HCAHPS Answer Description,HCAHPS Answer Percent Footnote,HCAHPS Answer Percent,HCAHPS Measure ID,HCAHPS Question,Hospital Name,Latitude,Location,Longitude,Measure End Date,Measure Start Date,Number of Completed Surveys Footnote,Number of Completed Surveys,Number of Records,Patient Survey Star Rating Footnote,Patient Survey Star Rating,Phone Number,Provider ID,State,Survey Response Rate Percent Footnote,Survey Response Rate Percent,ZIP Code
225 N JACKSON AVENUE,  ,SAN JOSE,SANTA CLARA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,REGIONAL MEDICAL CENTER OF SAN JOSE,37.363787,"225 N JACKSON AVENUESAN JOSE, CA",-121.848823,3/31/2017,4/1/2016,,1683,1,,2,4.08E+09,50125,CA,,0.18,95116
2425 SAMARITAN DRIVE,  ,SAN JOSE,SANTA CLARA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,GOOD SAMARITAN HOSPITAL,37.251104,"2425 SAMARITAN DRIVESAN JOSE, CA",-121.946563,3/31/2017,4/1/2016,,2256,1,,2,4.09E+09,50380,CA,,0.21,95124
751 SOUTH BASCOM AVENUE,  ,SAN JOSE,SANTA CLARA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,SANTA CLARA VALLEY MEDICAL CENTER,37.313774,"751 SOUTH BASCOM AVENUESAN JOSE, CA",-121.931899,3/31/2017,4/1/2016,,483,1,,2,4.09E+09,50038,CA,,0.29,95128
2105 FOREST AVENUE,  ,SAN JOSE,SANTA CLARA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,O'CONNOR HOSPITAL,37.327054,"2105 FOREST AVENUESAN JOSE, CA",-121.937154,3/31/2017,4/1/2016,,825,1,,2,4.09E+09,50153,CA,,0.25,95128
1555 SOQUEL DRIVE,  ,SANTA CRUZ,SANTA CRUZ,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,DOMINICAN HOSPITAL,36.988341,"1555 SOQUEL DRIVESANTA CRUZ, CA",-121.983818,3/31/2017,4/1/2016,,1292,1,,2,8.31E+09,50242,CA,,0.23,95065
75 NIELSON STREET,  ,WATSONVILLE,SANTA CRUZ,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,WATSONVILLE COMMUNITY HOSPITAL,36.92828,"75 NIELSON STREETWATSONVILLE, CA",-121.793721,3/31/2017,4/1/2016,,537,1,,2,8.32E+09,50194,CA,,0.31,95076
1100 BUTTE ST,  ,REDDING,SHASTA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,SHASTA REGIONAL MEDICAL CENTER,40.585273,"1100 BUTTE STREDDING, CA",-122.38685,3/31/2017,4/1/2016,,440,1,,2,5.30E+09,50764,CA,,0.31,96001
1375 UNIVERSITY AVENUE,  ,HEALDSBURG,SONOMA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,HEALDSBURG DISTRICT HOSPITAL,38.626583,"1375 UNIVERSITY AVENUEHEALDSBURG, CA",-122.863741,3/31/2017,4/1/2016,,102,1,,2,7.07E+09,51321,CA,,0.25,95448
400 N MCDOWELL BLVD,  ,PETALUMA,SONOMA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,PETALUMA VALLEY HOSPITAL,38.253183,"400 N MCDOWELL BLVDPETALUMA, CA",-122.63286,3/31/2017,4/1/2016,,394,1,,2,7.08E+09,50136,CA,,0.36,94954
1165 MONTGOMERY DR,  ,SANTA ROSA,SONOMA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,SANTA ROSA MEMORIAL HOSPITAL,38.442954,"1165 MONTGOMERY DRSANTA ROSA, CA",-122.701112,3/31/2017,4/1/2016,,1850,1,,2,7.08E+09,50174,CA,,0.31,95405
347 ANDRIEUX ST,  ,SONOMA,SONOMA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,SONOMA VALLEY HOSPITAL,38.288564,"347 ANDRIEUX STSONOMA, CA",-122.46585,3/31/2017,4/1/2016,,201,1,,2,7.08E+09,50090,CA,,0.27,95476
1700 COFFEE RD,  ,MODESTO,STANISLAUS,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,MEMORIAL MEDICAL CENTER,37.668701,"1700 COFFEE RDMODESTO, CA",-120.975674,3/31/2017,4/1/2016,,1790,1,,2,2095264500,50557,CA,,0.22,95355
1600 N ROSE AVE,  ,OXNARD,VENTURA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,ST JOHNS REGIONAL MEDICAL CENTER,34.216555,"1600 N ROSE AVEOXNARD, CA",-119.158351,3/31/2017,4/1/2016,,1154,1,,2,8.06E+09,50082,CA,,0.18,93030
2975 N SYCAMORE DR,  ,SIMI VALLEY,VENTURA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,ADVENTIST HEALTH SIMI VALLEY,34.288837,"2975 N SYCAMORE DRSIMI VALLEY, CA",-118.74396,3/31/2017,4/1/2016,,606,1,,2,8.06E+09,50236,CA,,0.25,93065
215 W JANSS RD,  ,THOUSAND OAKS,VENTURA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,LOS ROBLES HOSPITAL & MEDICAL CENTER,34.206398,"215 W JANSS RDTHOUSAND OAKS, CA",-118.882624,3/31/2017,4/1/2016,,1814,1,,2,8.05E+09,50549,CA,,0.16,91360
300 HILLMONT AVENUE,  ,VENTURA,VENTURA,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,VENTURA COUNTY MEDICAL CENTER,34.279055,"300 HILLMONT AVENUEVENTURA, CA",-119.254355,3/31/2017,4/1/2016,,337,1,,2,8.06E+09,50159,CA,,0.17,93003
2070 CLINTON AVENUE,  ,ALAMEDA,ALAMEDA,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ALAMEDA HOSPITAL,37.76323,"2070 CLINTON AVENUEALAMEDA, CA",-122.253541,3/31/2017,4/1/2016,,213,1,,2,5.11E+09,50211,CA,,0.18,94501
2450 ASHBY AVENUE,  ,BERKELEY,ALAMEDA,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,37.856488,"2450 ASHBY AVENUEBERKELEY, CA",-122.257329,3/31/2017,4/1/2016,,1321,1,,2,5.10E+09,50305,CA,,0.2,94705
27200 CALAROGA AVE,  ,HAYWARD,ALAMEDA,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ST ROSE HOSPITAL,37.63291,"27200 CALAROGA AVEHAYWARD, CA",-122.089742,3/31/2017,4/1/2016,,614,1,,2,5.11E+09,50002,CA,,0.22,94545
1411 E 31ST STREET,  ,OAKLAND,ALAMEDA,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,HIGHLAND HOSPITAL,37.799234,"1411 E 31ST STREETOAKLAND, CA",-122.231199,3/31/2017,4/1/2016,,1641,1,,2,5.10E+09,50320,CA,,0.23,94602
13855 E 14TH STREET,  ,SAN LEANDRO,ALAMEDA,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SAN LEANDRO HOSPITAL,37.714632,"13855 E 14TH STREETSAN LEANDRO, CA",-122.141973,3/31/2017,4/1/2016,,332,1,,2,5.10E+09,50773,CA,,0.17,94578
2767 OLIVE HIGHWAY,  ,OROVILLE,BUTTE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,OROVILLE HOSPITAL,39.504535,"2767 OLIVE HIGHWAYOROVILLE, CA",-121.542106,3/31/2017,4/1/2016,,499,1,,2,5.31E+09,50030,CA,,0.26,95966
3901 LONE TREE WAY,  ,ANTIOCH,CONTRA COSTA,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SUTTER DELTA MEDICAL CENTER,37.982295,"3901 LONE TREE WAYANTIOCH, CA",-121.804681,3/31/2017,4/1/2016,,563,1,,2,9.26E+09,50523,CA,,0.16,94509
800 E WASHINGTON BLVD,  ,CRESCENT CITY,DEL NORTE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SUTTER COAST HOSPITAL,41.772698,"800 E WASHINGTON BLVDCRESCENT CITY, CA",-124.194144,3/31/2017,4/1/2016,,303,1,,2,7.07E+09,50417,CA,,0.19,95531
1100 MARSHALL WAY,  ,PLACERVILLE,EL DORADO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,MARSHALL MEDICAL CENTER,38.724483,"1100 MARSHALL WAYPLACERVILLE, CA",-120.790643,3/31/2017,4/1/2016,,322,1,,2,5.31E+09,50254,CA,,0.29,95667
1303 E HERNDON AVE,  ,FRESNO,FRESNO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SAINT AGNES MEDICAL CENTER,36.837102,"1303 E HERNDON AVEFRESNO, CA",-119.765878,3/31/2017,4/1/2016,,1888,1,,2,5.59E+09,50093,CA,,0.22,93710
1415 ROSS AVENUE,  ,EL CENTRO,IMPERIAL,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,EL CENTRO REGIONAL MEDICAL CENTER,32.781498,"1415 ROSS AVENUEEL CENTRO, CA",-115.56862,3/31/2017,4/1/2016,,434,1,,2,7.60E+09,50045,CA,,0.13,92243
420 34TH ST,  ,BAKERSFIELD,KERN,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,BAKERSFIELD MEMORIAL HOSPITAL,35.390474,"420 34TH STBAKERSFIELD, CA",-119.006836,3/31/2017,4/1/2016,,1019,1,,2,6.61E+09,50036,CA,,0.17,93301
2215 TRUXTUN AVENUE,  ,BAKERSFIELD,KERN,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,MERCY HOSPITAL,35.373323,"2215 TRUXTUN AVENUEBAKERSFIELD, CA",-119.027386,3/31/2017,4/1/2016,,1103,1,,2,6.62E+09,50295,CA,,0.15,93301
901 OLIVE DRIVE,  ,BAKERSFIELD,KERN,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,GOOD SAMARITAN HOSPITAL,35.412258,"901 OLIVE DRIVEBAKERSFIELD, CA",-119.039498,3/31/2017,4/1/2016,,235,1,,2,6.61E+09,50257,CA,,0.18,93308
2615 CHESTER AVENUE,  ,BAKERSFIELD,KERN,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ADVENTIST HEALTH BAKERSFIELD,35.383049,"2615 CHESTER AVENUEBAKERSFIELD, CA",-119.018857,3/31/2017,4/1/2016,,774,1,,2,6.61E+09,50455,CA,,0.29,93301
501 SOUTH BUENA VISTA,  ,BURBANK,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,PROVIDENCE SAINT JOSEPH MEDICAL CTR,34.15761,"501 SOUTH BUENA VISTABURBANK, CA",-118.327824,3/31/2017,4/1/2016,,1270,1,,2,8.19E+09,50235,CA,,0.21,91505
11500 BROOKSHIRE AVENUE,  ,DOWNEY,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,PIH HOSPITAL - DOWNEY,33.935397,"11500 BROOKSHIRE AVENUEDOWNEY, CA",-118.131837,3/31/2017,4/1/2016,,601,1,,2,5.27E+09,50393,CA,,0.15,90241
16237 VENTURA BLVD,  ,ENCINO,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ENCINO HOSPITAL MEDICAL CENTER,34.156826,"16237 VENTURA BLVDENCINO, CA",-118.486948,3/31/2017,4/1/2016,,127,1,,2,8.19E+09,50158,CA,,0.14,91436
250 S GRAND AVE,  ,GLENDORA,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,FOOTHILL PRESBYTERIAN HOSPITAL,34.133196,"250 S GRAND AVEGLENDORA, CA",-117.872534,3/31/2017,4/1/2016,,352,1,,2,6.27E+09,50597,CA,,0.19,91740
2623 E SLAUSON AVE,  ,HUNTINGTON PARK,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,COMMUNITY HOSPITAL OF HUNTINGTON PARK,33.989182,"2623 E SLAUSON AVEHUNTINGTON PARK, CA",-118.22419,3/31/2017,4/1/2016,,368,1,,2,3.24E+09,50091,CA,,0.17,90255
3700 E SOUTH ST,  ,LAKEWOOD,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,LAKEWOOD REGIONAL MEDICAL CENTER,33.860223,"3700 E SOUTH STLAKEWOOD, CA",-118.148749,3/31/2017,4/1/2016,,765,1,,2,5.63E+09,50581,CA,,0.27,90712
2801 ATLANTIC AVE,  ,LONG BEACH,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,LONG BEACH MEMORIAL MEDICAL CENTER,33.807107,"2801 ATLANTIC AVELONG BEACH, CA",-118.185098,3/31/2017,4/1/2016,,3092,1,,2,5.63E+09,50485,CA,,0.21,90806
1401 SOUTH GRAND AVENUE,  ,LOS ANGELES,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,CALIFORNIA HOSPITAL MEDICAL CENTER LA,34.037212,"1401 SOUTH GRAND AVENUELOS ANGELES, CA",-118.265363,3/31/2017,4/1/2016,,1263,1,,2,2137482411,50149,CA,,0.1,90015
6041 CADILLAC AVE,  ,LOS ANGELES,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,KAISER FOUNDATION HOSPITAL - WEST LA,34.03799,"6041 CADILLAC AVELOS ANGELES, CA",-118.376247,3/31/2017,4/1/2016,,1601,1,,2,2138572201,50561,CA,,0.24,90034
4060 WHITTIER BLVD,  ,LOS ANGELES,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,EAST LOS ANGELES DOCTORS HOSPITAL,34.02393,"4060 WHITTIER BLVDLOS ANGELES, CA",-118.184285,3/31/2017,4/1/2016,,367,1,,2,3.23E+09,50641,CA,,0.18,90023
5900 WEST OLYMPIC BOULEVARD,  ,LOS ANGELES,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,OLYMPIA MEDICAL CENTER,34.057527,"5900 WEST OLYMPIC BOULEVARDLOS ANGELES, CA",-118.359857,3/31/2017,4/1/2016,,480,1,,2,3.11E+09,50742,CA,,0.18,90036
"1200 N STATE ST, ROOM C2K100",  ,LOS ANGELES,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,LAC+USC MEDICAL CENTER,34.059872,"1200 N STATE ST, ROOM C2K100LOS ANGELES, CA",-118.210308,3/31/2017,4/1/2016,,620,1,,2,3.23E+09,50373,CA,,0.14,90033
2131 W 3RD ST,  ,LOS ANGELES,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SAINT VINCENT MEDICAL CENTER,34.06319,"2131 W 3RD STLOS ANGELES, CA",-118.273665,3/31/2017,4/1/2016,,671,1,,2,2134847111,50502,CA,,0.19,90057
309 W BEVERLY BLVD,  ,MONTEBELLO,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,BEVERLY HOSPITAL,34.016032,"309 W BEVERLY BLVDMONTEBELLO, CA",-118.100526,3/31/2017,4/1/2016,,933,1,,2,3.24E+09,50350,CA,,0.15,90640
13652 CANTARA ST,  ,PANORAMA CITY,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,34.219847,"13652 CANTARA STPANORAMA CITY, CA",-118.430299,3/31/2017,4/1/2016,,1853,1,,2,8.18E+09,50137,CA,,0.28,91402
14850 ROSCOE BLVD,  ,PANORAMA CITY,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,MISSION COMMUNITY HOSPITAL,34.221494,"14850 ROSCOE BLVDPANORAMA CITY, CA",-118.456802,3/31/2017,4/1/2016,,250,1,,2,8.19E+09,50704,CA,,0.13,91402
2121 SANTA MONICA BLVD,  ,SANTA MONICA,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,PROVIDENCE SAINT JOHN'S HEALTH CENTER,34.03007,"2121 SANTA MONICA BLVDSANTA MONICA, CA",-118.478305,3/31/2017,4/1/2016,,2769,1,,2,3.11E+09,50290,CA,,0.29,90404
18321 CLARK STREET,  ,TARZANA,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,PROVIDENCE TARZANA MEDICAL CENTER,34.169776,"18321 CLARK STREETTARZANA, CA",-118.531875,3/31/2017,4/1/2016,,1454,1,,2,8.19E+09,50761,CA,,0.22,91356
4101 TORRANCE BLVD,  ,TORRANCE,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,33.837577,"4101 TORRANCE BLVDTORRANCE, CA",-118.35708,3/31/2017,4/1/2016,,1537,1,,2,3.11E+09,50353,CA,,0.22,90503
1000 W CARSON ST,  ,TORRANCE,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,LAC/HARBOR-UCLA MED CENTER,33.831583,"1000 W CARSON STTORRANCE, CA",-118.294546,3/31/2017,4/1/2016,,499,1,,2,3.10E+09,50376,CA,,0.14,90502
23845  MCBEAN PKWY,  ,VALENCIA,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,HENRY MAYO NEWHALL  HOSPITAL,34.396342,"23845 MCBEAN PKWYVALENCIA, CA",-118.553143,3/31/2017,4/1/2016,,1656,1,,2,6.61E+09,50624,CA,,0.2,91355
7300 MEDICAL CENTER DR,  ,WEST HILLS,LOS ANGELES,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,WEST HILLS HOSPITAL & MEDICAL CENTER,34.202931,"7300 MEDICAL CENTER DRWEST HILLS, CA",-118.628598,3/31/2017,4/1/2016,,1057,1,,2,8.19E+09,50481,CA,,0.18,91307
333 MERCY AVENUE,  ,MERCED,MERCED,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,MERCY MEDICAL CENTER,37.340122,"333 MERCY AVENUEMERCED, CA",-120.465214,3/31/2017,4/1/2016,,1175,1,,2,2095645000,50444,CA,,0.14,95340
300 CANAL STREET,  ,KING CITY,MONTEREY,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,GEORGE L MEE MEMORIAL HOSPITAL,36.206819,"300 CANAL STREETKING CITY, CA",-121.132137,3/31/2017,4/1/2016,,101,1,,2,8.31E+09,50189,CA,,0.14,93930
1025 S ANAHEIM BLVD,  ,ANAHEIM,ORANGE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ANAHEIM GLOBAL MEDICAL CENTER,33.820566,"1025 S ANAHEIM BLVDANAHEIM, CA",-117.909002,3/31/2017,4/1/2016,,384,1,,2,7.15E+09,50744,CA,,0.24,92805
12601 GARDEN GROVE BLVD,  ,GARDEN GROVE,ORANGE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,GARDEN GROVE HOSPITAL & MEDICAL CENTER,33.774471,"12601 GARDEN GROVE BLVDGARDEN GROVE, CA",-117.913645,3/31/2017,4/1/2016,,422,1,,2,7.15E+09,50230,CA,,0.2,92843
7901 WALKER STREET,  ,LA PALMA,ORANGE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,LA PALMA INTERCOMMUNITY HOSPITAL,33.847397,"7901 WALKER STREETLA PALMA, CA",-118.037247,3/31/2017,4/1/2016,,338,1,,2,7.15E+09,50580,CA,,0.19,90623
2601 E CHAPMAN AVE,  ,ORANGE,ORANGE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,CHAPMAN GLOBAL MEDICAL CENTER,33.787878,"2601 E CHAPMAN AVEORANGE, CA",-117.827058,3/31/2017,4/1/2016,,168,1,,2,7.15E+09,50745,CA,,0.18,92869
2701 S BRISTOL ST,  ,SANTA ANA,ORANGE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SOUTH COAST GLOBAL MEDICAL CENTER,33.710682,"2701 S BRISTOL STSANTA ANA, CA",-117.88541,3/31/2017,4/1/2016,,644,1,,2,7.15E+09,50747,CA,,0.29,92704
1001 NORTH TUSTIN AVENUE,  ,SANTA ANA,ORANGE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ORANGE COUNTY GLOBAL MEDICAL CENTER,33.753636,"1001 NORTH TUSTIN AVENUESANTA ANA, CA",-117.834209,3/31/2017,4/1/2016,,951,1,,2,7.15E+09,50746,CA,,0.26,92705
ONE MEDICAL PLAZA,  ,ROSEVILLE,PLACER,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SUTTER ROSEVILLE MEDICAL CENTER,,"ONE MEDICAL PLAZAROSEVILLE, CA",,3/31/2017,4/1/2016,,1985,1,,2,9.17E+09,50309,CA,,0.29,95661
800 SOUTH MAIN STREET,  ,CORONA,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,CORONA REGIONAL MEDICAL CENTER,33.873327,"800 SOUTH MAIN STREETCORONA, CA",-117.566768,3/31/2017,4/1/2016,,681,1,,2,9.52E+09,50329,CA,,0.19,92882
1117 EAST DEVONSHIRE,  ,HEMET,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,HEMET VALLEY MEDICAL CENTER,33.75122,"1117 EAST DEVONSHIREHEMET, CA",-116.959859,3/31/2017,4/1/2016,,466,1,,2,9.52E+09,50390,CA,,0.16,92543
47111 MONROE STREET,  ,INDIO,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,JOHN F KENNEDY MEMORIAL HOSPITAL,33.706359,"47111 MONROE STREETINDIO, CA",-116.233881,3/31/2017,4/1/2016,,533,1,,2,7.60E+09,50534,CA,,0.3,92201
26520 CACTUS AVENUE,  ,MORENO VALLEY,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,33.910054,"26520 CACTUS AVENUEMORENO VALLEY, CA",-117.195824,3/31/2017,4/1/2016,,502,1,,2,9.51E+09,50292,CA,,0.09,92555
27300 IRIS AVENUE,  ,MORENO VALLEY,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,33.895697,"27300 IRIS AVENUEMORENO VALLEY, CA",-117.187121,3/31/2017,4/1/2016,,737,1,,2,9.51E+09,50765,CA,,0.22,92555
3865 JACKSON STREET,  ,RIVERSIDE,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,33.925697,"3865 JACKSON STREETRIVERSIDE, CA",-117.440052,3/31/2017,4/1/2016,,1032,1,,2,9.52E+09,50102,CA,,0.17,92503
4445 MAGNOLIA AVENUE,  ,RIVERSIDE,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,RIVERSIDE COMMUNITY HOSPITAL,33.975701,"4445 MAGNOLIA AVENUERIVERSIDE, CA",-117.380349,3/31/2017,4/1/2016,,3452,1,,2,9.52E+09,50022,CA,,0.22,92501
28400 MCCALL B0ULEVARD,  ,SUN CITY,RIVERSIDE,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,MENIFEE VALLEY MEDICAL CENTER,,"28400 MCCALL B0ULEVARDSUN CITY, CA",,3/31/2017,4/1/2016,,295,1,,2,9.52E+09,50684,CA,,0.18,92585
400 NORTH PEPPER AVENUE,  ,COLTON,SAN BERNARDINO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ARROWHEAD REGIONAL MEDICAL CENTER,34.072884,"400 NORTH PEPPER AVENUECOLTON, CA",-117.352833,3/31/2017,4/1/2016,,1039,1,,2,9.10E+09,50245,CA,,0.1,92324
6601 WHITE FEATHER ROAD,  ,JOSHUA TREE,SAN BERNARDINO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,HI-DESERT MEDICAL CENTER,34.132676,"6601 WHITE FEATHER ROADJOSHUA TREE, CA",-116.276709,3/31/2017,4/1/2016,,425,1,,2,7.60E+09,50279,CA,,0.28,92252
5000 SAN BERNARDINO ST,  ,MONTCLAIR,SAN BERNARDINO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,MONTCLAIR HOSPITAL MEDICAL CENTER,34.077662,"5000 SAN BERNARDINO STMONTCLAIR, CA",-117.696098,3/31/2017,4/1/2016,,454,1,,2,9.10E+09,50758,CA,,0.22,91763
2101 N WATERMAN AVE,  ,SAN BERNARDINO,SAN BERNARDINO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ST BERNARDINE MEDICAL CENTER,34.134062,"2101 N WATERMAN AVESAN BERNARDINO, CA",-117.27876,3/31/2017,4/1/2016,,1040,1,,2,9.10E+09,50129,CA,,0.17,92404
1805 MEDICAL CENTER DRIVE,  ,SAN BERNARDINO,SAN BERNARDINO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,COMMUNITY HOSPITAL OF SAN BERNARDINO,34.131266,"1805 MEDICAL CENTER DRIVESAN BERNARDINO, CA",-117.322558,3/31/2017,4/1/2016,,395,1,,2,9.10E+09,50089,CA,,0.09,92411
16850 BEAR VALLEY RD,  ,VICTORVILLE,SAN BERNARDINO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,DESERT VALLEY HOSPITAL,34.470911,"16850 BEAR VALLEY RDVICTORVILLE, CA",-117.297099,3/31/2017,4/1/2016,,455,1,,2,7.60E+09,50709,CA,,0.25,92395
15248 11TH ST,  ,VICTORVILLE,SAN BERNARDINO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,VICTOR VALLEY GLOBAL MEDICAL CENTER,34.52897,"15248 11TH STVICTORVILLE, CA",-117.292518,3/31/2017,4/1/2016,,707,1,,2,7.60E+09,50517,CA,,0.15,92392
354 SANTA FE DRIVE,  ,ENCINITAS,SAN DIEGO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,33.036272,"354 SANTA FE DRIVEENCINITAS, CA",-117.284237,3/31/2017,4/1/2016,,2037,1,,2,7.61E+09,50503,CA,,0.25,92024
2400 EAST 4TH ST,  ,NATIONAL CITY,SAN DIEGO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,PARADISE VALLEY HOSPITAL,32.686336,"2400 EAST 4TH STNATIONAL CITY, CA",-117.083243,3/31/2017,4/1/2016,,454,1,,2,6.19E+09,50024,CA,,0.13,91950
4077 5TH AVE,  ,SAN DIEGO,SAN DIEGO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,SCRIPPS MERCY HOSPITAL,32.751211,"4077 5TH AVESAN DIEGO, CA",-117.161024,3/31/2017,4/1/2016,,3547,1,,2,6.19E+09,50077,CA,,0.17,92103
6655 ALVARADO ROAD,  ,SAN DIEGO,SAN DIEGO,Discharge information - star rating,,,H_COMP_6_STAR_RATING,Discharge information,ALVARADO HOSPITAL MEDICAL CENTER,32.777136,"6655 ALVARADO ROADSAN DIEGO, CA",-117.056602,3/31/2017,4/1/2016,,514,1,,2,6.19E+09,50757,CA,,0.24,92120
